ID,Numar post de transformare,Nume,Descrierea BDI,Proprietar,Detaliere Proprietar,Locatia 1,Sucursala,Locatia CE,Numar,PA/PT,Descriere loc functional Retele JT,Descriere obiect tehnic LES JT,Descriere obiect tehnic LEA JT,Tipul constructiv al PT*,Descriere loc functional,Grup planificatori pentru serviciu clienti si intr unit log,Post de lucru,Post de lucru principal pentru sarcini intret,Sectie unitate logistica,Unitate logistica de planificare a întretinerii,Unitate logistica de întretinere,Unitati logistice asociate cu post lucru principal
8099,82,FINTESTI 2,PTA 0082 FINTESTI 2,DEER,,LEA 20 KV NAENI,Buzau,LEA 20 KV NAENI CE MT JT BUZAU+BUZAU SUD,26,PT,RET JT PTA 0082 FINTESTI 2,,LEA JT PTA 0082 FINTESTI 2,PTA - Aerian,PTA 0082 FINTESTI 2,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6066,82,CART LUNCA,PTZ 0082 CART LUNCA,DEER,,LES 20 KV POMPIERI,Buzau,LES 20 KV POMPIERI CE MT JT RM.SARAT,3,PT,RET JT PTZ 0082 CART LUNCA,LES JT PTZ 0082 CART LUNCA RM SARAT,LEA JT PTZ 0082 CART LUNCA RM SARAT,PTZ - Zidit,PTZ 0082 CART LUNCA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10387,83,SC PROF. IUT  BZ = CASAT,PTZ 0083 SC PROF. IUT  BZ = CASAT,DEER,SC PROF. IUT  BUZAU,LEA 20 KV SILOZ = DEFECTA,Buzau,LES 20 KV IOA 1 = DEFECT CE MT JT RM.SARAT,45,PT,RET JT PTZ 0083 SC PROF. IUT  BZ = CA,LES JT PTZ 0083 SC PROF. IUT  BUZAU,,PTZ - Zidit,PTZ 0083 SC PROF. IUT  BZ = CASAT,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10386,83,CT BAZAR  BUZAU,PTZ 0083 CT BAZAR  BUZAU,DEER,,LES 20 KV PALAT,Buzau,LES 20 KV PALAT CE MT JT BUZAU+BUZAU SUD,15,PT,RET JT PTZ 0083 CT BAZAR  BUZAU,LES JT PTZ 0083 CT BAZAR  BUZAU,,PTZ - Zidit,PTZ 0083 CT BAZAR  BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6083,83,CART AL_SALIGNY,PTZ 0083 CART AL_SALIGNY,DEER,,LES 20 KV IOA,Buzau,LES 20 KV IOA CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTZ 0083 CART AL_SALIGNY,LES JT PTZ 0083 C A IPATESCU RM SARA,LEA JT PTZ 0083 C A IPATESCU RM SARA,PTZ - Zidit,PTZ 0083 CART AL_SALIGNY,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6097,84,BOLDU_3,PTA 0084 BOLDU_3,DEER,,LEA 20 KV BALTA ALBA,Buzau,LEA 20 KV BALTA ALBA CE MT JT RM.SARAT,15,PT,RET JT PTA 0084 BOLDU_3,,LEA JT PTA 0084 BOLDU,PTA - Aerian,PTA 0084 BOLDU_3,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8100,84,SAHATENI,PTA 0084 SAHATENI,DEER,,LEA 20 KV NAENI,Buzau,LEA 20 KV NAENI CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTA 0084 SAHATENI,,LEA JT PTA 0084 SAHATENI,PTA - Aerian,PTA 0084 SAHATENI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6096,84,BOBOC GARA,PTA 0084 BOBOC GARA,DEER,,LEA 20 KV IRIGATII,Buzau,LEA 20 KV IRIGATII CE MT JT BUZAU NORD,24,PT,RET JT PTA 0084 BOBOC GARA,LES JT PTA 0084 BOBOC GARA,LEA JT PTA 0084 BOBOC GARA,PTA - Aerian,PTA 0084 BOBOC GARA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10389,84,ICM BUZAU,PTZ 0084 ICM BUZAU,DEER,,LES 6 KV FLACARA2,Buzau,LES 6 KV FLACARA2 CE MT JT BUZAU+BUZAU SUD,4,PT,RET JT PTZ 0084 ICM BUZAU,,LEA JT PTZ 0084 ICM BUZAU,PTZ - Zidit,PTZ 0084 ICM BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10388,84,BLOC 1A BAZAR BUZAU,PTZ 0084 BLOC 1A BAZAR BUZAU,DEER,,LES 20 KV PALAT,Buzau,LES 20 KV PALAT CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTZ 0084 BLOC 1A BAZAR BUZAU,LES JT PTZ 0084 BLOC 1A BAZAR BUZAU,,PTZ - Zidit,PTZ 0084 BLOC 1A BAZAR BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6098,84,CART AL-SALIGNY,PTZ 0084 CART AL-SALIGNY,DEER,,LES 20 KV IOA,Buzau,LES 20 KV IOA CE MT JT BUZAU+BUZAU SUD,2,PT,RET JT PTZ 0084 CART AL-SALIGNY,LES JT PTZ 0084 C A SALIGNY RM SARAT,LEA JT PTZ 0084 C A SALIGNY RM SARAT,PTZ - Zidit,PTZ 0084 CART AL-SALIGNY,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6111,85,AL ODOBESCU,PTA 0085 AL ODOBESCU,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,30,PT,RET JT PTA 0085 AL ODOBESCU,,LEA JT PTA 0085 AL ODOBESCU,PTA - Aerian,PTA 0085 AL ODOBESCU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8101,85,CARLOMANESTI,PTA 0085 CARLOMANESTI,DEER,,LEA 20 KV ZORESTI,Buzau,LEA 20 KV ZORESTI CE MT JT BUZAU+BUZAU SUD,30,PT,RET JT PTA 0085 CARLOMANESTI,,LEA JT PTA 0085 CARLOMANESTI,PTA - Aerian,PTA 0085 CARLOMANESTI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6114,85,COCHIRLEANCA_1,PTA 0085 COCHIRLEANCA_1,DEER,,LEA 20 KV IRIGATII,Buzau,LEA 20 KV IRIGATII CE MT JT BUZAU NORD,34,PT,RET JT PTA 0085 COCHIRLEANCA_1,LES JT PTA 0085 COCHIRLEANCA,LEA JT PTA 0085 COCHIRLEANCA,PTA - Aerian,PTA 0085 COCHIRLEANCA_1,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10390,85,BLOC 20,PTZ 0085 BLOC 20,DEER,,LES 20 KV UNIRII,Buzau,LES 20 KV UNIRII CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTZ 0085 BLOC 20,LES JT PTZ 0085 BLOC 20,,PTZ - Zidit,PTZ 0085 BLOC 20,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6113,85,CARTIER PODGORIA,PTAB 0085 CARTIER PODGORIA,DEER,,LES 6 KV 6_MARTIE,Buzau,LES 6 KV 6_MARTIE CE MT JT BUZAU+BUZAU SUD,3,PT,RET JT PTAB 0085 CARTIER PODGORIA,LES JT PTAB 0085 CART PODGORIA RM SA,LEA JT PTAB 0085 CART PODGORIA RM SA,PTAB - Anvelopa de Beton,PTAB 0085 CARTIER PODGORIA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10391,85,PINULUI,PTZ 0085 PINULUI,DEER,,LES 6 KV AGROSEM,Buzau,LES 6 KV AGROSEM CE MT JT BUZAU+BUZAU SUD,7,PT,RET JT PTZ 0085 PINULUI,,LEA JT PTZ 0085 PINULUI,PTZ - Zidit,PTZ 0085 PINULUI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10136,86,ALUNIS BUZAU,PTM 0086 ALUNIS BUZAU,DEER,,LES 6 KV GARLASI,Buzau,LES 6 KV GARLASI CE MT JT BUZAU+BUZAU SUD,99,PT,RET JT PTM 0086 ALUNIS BUZAU,LES JT PTM 0086 ALUNIS BUZAU,LEA JT PTM 0086 ALUNIS BUZAU,PTM - Metalic,PTM 0086 ALUNIS BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6134,86,MURGESTI,PTA 0086 MURGESTI,DEER,,LEA 20 KV FLORESTI BZ,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,64,PT,RET JT PTA 0086 MURGESTI,,LEA JT PTA 0086 MURGESTI,PTA - Aerian,PTA 0086 MURGESTI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10392,86,BLOC M1 BROSTENI BUZAU,PTZ 0086 BLOC M1 BROSTENI BUZAU,DEER,,LES 20 KV LICEUL ENERGETIC,Buzau,LES 20 KV LICEUL ENERGETIC CE MT JT BUZAU+BUZAU SUD,80,PT,RET JT PTZ 0086 BLOC M1 BROSTENI BUZA,LES JT PTZ 0086 BLOC M1 BROSTENI BUZ,,PTZ - Zidit,PTZ 0086 BLOC M1 BROSTENI BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6146,87,BATOGU,PTA 0087 BATOGU,DEER,,LEA 20 KV FLORESTI BZ,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,65,PT,RET JT PTA 0087 BATOGU,,LEA JT PTA 0087 BATOGU,PTA - Aerian,PTA 0087 BATOGU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6157,87,ZARNESTI_1,PTA 0087 ZARNESTI_1,DEER,,LEA 20 KV VADU SORESTI,Buzau,LEA 20 KV VADU SORESTI CE MT JT BUZAU NORD,45,PT,RET JT PTA 0087 ZARNESTI_1,LES JT PTA 0087 ZARNESTI 3,LEA JT PTA 0087 ZARNESTI 3,PTA - Aerian,PTA 0087 ZARNESTI_1,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8102,87,ITTC ZORESTI,PTA 0087 ITTC ZORESTI,DEER,,LEA 20 KV ZORESTI,Buzau,LEA 20 KV ZORESTI CE MT JT BUZAU+BUZAU SUD,22,PT,RET JT PTA 0087 ITTC ZORESTI,,LEA JT PTA 0087 ITTC ZORESTI,PTA - Aerian,PTA 0087 ITTC ZORESTI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
9996,87,LUKOIL,PTAB 0087 LUKOIL,DEER,,LES 20 KV STRAND,Buzau,LES 20 KV STRAND CE MT JT RM.SARAT,3,PT,RET JT PTAB 0087 LUKOIL,LES JT PTAB 0087 LUKOIL RM SARAT,,PTAB - Anvelopa de Beton,PTAB 0087 LUKOIL,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
9997,88,ROMPETROL = RETRAS,PTAB 0088 ROMPETROL = RETRAS,DEER,,LES 20 KV STRAND,Buzau,LES 20 KV STRAND CE MT JT RM.SARAT,4,PT,RET JT PTAB 0088 ROMPETROL = RETRAS,LES JT PTAB 0088 ROMPETROL,,PTAB - Anvelopa de Beton,PTAB 0088 ROMPETROL = RETRAS,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6160,88,BOLDU_2,PTA 0088 BOLDU_2,DEER,,LEA 20 KV BALTA ALBA,Buzau,LEA 20 KV BALTA ALBA CE MT JT RM.SARAT,19,PT,RET JT PTA 0088 BOLDU_2,,LEA JT PTA 0088 BOLDU,PTA - Aerian,PTA 0088 BOLDU_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8103,88,IZVORUL,PTA 0088 IZVORUL,DEER,,LEA 20 KV ZORESTI,Buzau,LEA 20 KV ZORESTI CE MT JT BUZAU+BUZAU SUD,44,PT,RET JT PTA 0088 IZVORUL,,LEA JT PTA 0088 IZVORUL,PTA - Aerian,PTA 0088 IZVORUL,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10393,88,BLOC B7  BUZAU,PTZ 0088 BLOC B7  BUZAU,DEER,,LES 20 KV INDEPENDENTEI,Buzau,LES 20 KV INDEPENDENTEI CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTZ 0088 BLOC B7  BUZAU,LES JT PTZ 0088 BLOC B7  BUZAU,LEA JT PTZ 0088 BLOC B7  BUZAU,PTZ - Zidit,PTZ 0088 BLOC B7  BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6175,89,COSTIENI_1,PTA 0089 COSTIENI_1,DEER,,LEA 20 KV BALACEANU,Buzau,LEA 20 KV BALACEANU CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTA 0089 COSTIENI_1,,LEA JT PTA 0089 COSTIENI,PTA - Aerian,PTA 0089 COSTIENI_1,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6184,89,SUDITI_2,PTA 0089 SUDITI_2,DEER,,LEA 20 KV VADU SORESTI,Buzau,LEA 20 KV VADU SORESTI CE MT JT BUZAU NORD,33,PT,RET JT PTA 0089 SUDITI_2,LES JT PTA 0089 SUDITI,LEA JT PTA 0089 SUDITI,PTA - Aerian,PTA 0089 SUDITI_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10394,89,BLOC 50 MICRO 14 BUZAU,PTZ 0089 BLOC 50 MICRO 14 BUZAU,DEER,,LES 6 KV PA 80,Buzau,LES 6 KV PA 80 CE MT JT BUZAU+BUZAU SUD,7,PT,RET JT PTZ 0089 BLOC 50 MICRO 14 BUZA,LES JT PTZ 0089 BLOC 50 MICRO 14 BUZ,LEA JT PTZ 0089 BLOC 50 MICRO 14 BUZ,PTZ - Zidit,PTZ 0089 BLOC 50 MICRO 14 BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10395,89,BLOC E4 BUZAU,PTZ 0089 BLOC E4 BUZAU,DEER,SAD_9,LES 20 KV INDEPENDENTEI,Buzau,LES 20 KV INDEPENDENTEI CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTZ 0089 BLOC E4 BUZAU,LES JT PTZ 0089 BLOC E4 BUZAU,,PTZ - Zidit,PTZ 0089 BLOC E4 BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10398,90,CASAT=IVV BUZAU,PTZ 0090 CASAT=IVV BUZAU,DEER,CASAT=IVV BUZAU,LEA 20 KV SILOZ = DEFECTA,Buzau,LES 6 KV PASAJ 2 CE MT JT BUZAU+BUZAU SUD,90,PT,RET JT PTZ 0090 CASAT=IVV BUZAU,LES JT PTZ 0090 I V V BUZAU,,PTZ - Zidit,PTZ 0090 CASAT=IVV BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6214,90,MUCESTI,PTA 0090 MUCESTI,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,31,PT,RET JT PTA 0090 MUCESTI,,LEA JT PTA 0090 MUCESTI,PTA - Aerian,PTA 0090 MUCESTI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8107,90,LEICULESTI,PTA 0090 LEICULESTI,DEER,,LEA 20 KV ZORESTI,Buzau,LEA 20 KV ZORESTI CE MT JT BUZAU+BUZAU SUD,43,PT,RET JT PTA 0090 LEICULESTI,,LEA JT PTA 0090 LEICULESTI,PTA - Aerian,PTA 0090 LEICULESTI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6209,90,FOCSANEI_2,PTA 0090 FOCSANEI_2,DEER,,LEA 20 KV SCURTESTI,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,11,PT,RET JT PTA 0090 FOCSANEI_2,LES JT PTA 0090 FOCSANEI,LEA JT PTA 0090 FOCSANEI,PTA - Aerian,PTA 0090 FOCSANEI_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
9998,90,CARTIER SARBI,PTAB 0090 CARTIER SARBI,DEER,,LES 20 KV COSTIENI,Buzau,LES 20 KV COSTIENI CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTAB 0090 CARTIER SARBI,,LEA JT PTAB 0090 CART SARBI RM SARAT,PTAB - Anvelopa de Beton,PTAB 0090 CARTIER SARBI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
17677,90,BACHUS,PTAB 0090 BACHUS,DEER,BACHUS BUZAU,LES 20 KV DRAGAICA,Buzau,LES 20 KV DRAGAICA CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTAB 0090 BACHUS,LES JT PTZ 0090 I V V BUZAU,,PTAB - Anvelopa de Beton,PTAB 0090 BACHUS,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6231,91,DANULESTI,PTA 0091 DANULESTI,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,32,PT,RET JT PTA 0091 DANULESTI,,LEA JT PTA 0091 DANULESTI,PTA - Aerian,PTA 0091 DANULESTI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8108,91,TURTURESTI,PTA 0091 TURTURESTI,DEER,,LEA 20 KV PIETROASELE,Buzau,LEA 20 KV PIETROASELE CE MT JT BUZAU+BUZAU SUD,23,PT,RET JT PTA 0091 TURTURESTI,,LEA JT PTA 0091 TURTURESTI,PTA - Aerian,PTA 0091 TURTURESTI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6229,91,COCHIRLEANCA_2,PTA 0091 COCHIRLEANCA_2,DEER,,LEA 20 KV IRIGATII,Buzau,LEA 20 KV IRIGATII CE MT JT BUZAU NORD,35,PT,RET JT PTA 0091 COCHIRLEANCA_2,LES JT PTA 0091 COCHIRLEANCA,LEA JT PTA 0091 COCHIRLEANCA,PTA - Aerian,PTA 0091 COCHIRLEANCA_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10816,91,CARTIER LUNCI,PTAB 0091 CARTIER LUNCI,DEER,,LES 6 KV GARA,Buzau,LES 6 KV GARA CE MT JT RM.SARAT,5,PT,RET JT PTAB 0091 CARTIER LUNCI,,,PTAB - Anvelopa de Beton,PTAB 0091 CARTIER LUNCI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8109,92,GOMOESTI,PTA 0092 GOMOESTI,DEER,MOD-TRAF-11-BUC,LEA 20 KV FRASINU,Buzau,LEA 20 KV FRASINU CE MT JT BUZAU+BUZAU SUD,5,PT,RET JT PTA 0092 GOMOESTI,,LEA JT PTA 0092 GOMOESTI,PTA - Aerian,PTA 0092 GOMOESTI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6245,92,LIVADA MICA,PTA 0092 LIVADA MICA,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,55,PT,RET JT PTA 0092 LIVADA MICA,,LEA JT PTA 0092 LIVADA MICA,PTA - Aerian,PTA 0092 LIVADA MICA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6249,92,SAGEATA_1,PTA 0092 SAGEATA_1,DEER,,LEA 20 KV SCURTESTI,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,40,PT,RET JT PTA 0092 SAGEATA_1,LES JT PTA 0092 SAGEATA,LEA JT PTA 0092 SAGEATA,PTA - Aerian,PTA 0092 SAGEATA_1,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10399,92,BLOCURI UNIRII BUZAU,PTZ 0092 BLOCURI UNIRII BUZAU,DEER,,LES 6 KV PA 69,Buzau,LES 6 KV PA 69 CE MT JT BUZAU+BUZAU SUD,10,PT,RET JT PTZ 0092 BLOCURI UNIRII BUZAU,LES JT PTZ 0092 BLOCURI UNIRII BUZAU,,PTZ - Zidit,PTZ 0092 BLOCURI UNIRII BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10400,92,CT 1 BUZAU,PTZ 0092 CT 1 BUZAU,DEER,,LES 20 KV DOROBANTI 1,Buzau,LES 20 KV DOROBANTI 1 CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTZ 0092 CT 1 BUZAU,LES JT PTZ 0092 CT 1 BUZAU,,PTZ - Zidit,PTZ 0092 CT 1 BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
15223,92,DRAGAICII,PTAB 0092 DRAGAICII,DEER,,LES 20 KV ZORILOR,Buzau,LES 20 KV ZORILOR CE MT JT BUZAU+BUZAU SUD,1,PT,RET JT PTAB 0092 DRAGAICII,,,PTAB - Anvelopa de Beton,PTAB 0092 DRAGAICII,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
6265,93,SAGEATA_2,PTA 0093 SAGEATA_2,DEER,,LEA 20 KV SCURTESTI,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,44,PT,RET JT PTA 0093 SAGEATA_2,LES JT PTA 0093 SAGEATA,LEA JT PTA 0093 SAGEATA,PTA - Aerian,PTA 0093 SAGEATA_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
